Number of nodes 10000 
0 : 6.755199 14.289261 
1 : 29.806664 46.562453 
2 : 19.085374 39.992586 
3 : 26.137782 16.553737 
4 : 38.663037 36.870975 
5 : 12.521100 28.371994 
6 : 3.057578 0.803183 
7 : 31.656606 21.275728 
8 : 14.615359 1.468922 
9 : 23.403976 39.208833 
10 : 7.333468 49.040742 
11 : 3.076758 34.497210 
12 : 6.146511 38.984269 
13 : 33.075040 29.898926 
14 : 12.038270 14.230473 
15 : 15.355380 37.312741 
16 : 26.029958 34.693712 
17 : 32.694821 22.126157 
18 : 30.650649 20.956415 
19 : 14.967022 7.538569 
20 : 7.594499 27.014601 
21 : 25.860070 9.818013 
22 : 0.144212 37.459134 
23 : 11.315516 35.783012 
24 : 25.544024 35.224852 
25 : 23.682983 36.814368 
26 : 13.011568 32.834357 
27 : 39.558050 44.554807 
28 : 4.929434 24.553975 
29 : 29.435079 17.088860 
30 : 6.264681 48.135437 
31 : 17.385896 6.247216 
32 : 33.289729 10.430613 
33 : 14.396382 7.748509 
34 : 3.049522 40.380243 
35 : 22.277022 3.368329 
36 : 10.957209 24.530159 
37 : 5.282187 29.920909 
38 : 27.986194 18.251009 
39 : 19.436196 34.427946 
40 : 7.308650 42.845357 
41 : 4.048582 45.031923 
42 : 8.063373 47.574777 
43 : 5.389840 45.002341 
44 : 12.951566 0.326846 
45 : 38.021802 2.096610 
46 : 21.285222 43.544609 
47 : 9.907428 22.220029 
48 : 17.491050 22.127027 
49 : 26.763511 16.529931 
50 : 21.907828 46.983655 
51 : 24.362180 35.642063 
52 : 34.525390 46.945351 
53 : 15.227838 26.547797 
54 : 29.958225 1.090149 
55 : 6.267872 41.019554 
56 : 2.324953 14.374803 
57 : 13.588278 43.368983 
58 : 32.687057 43.010541 
59 : 15.101907 27.531618 
60 : 38.904197 22.861925 
61 : 24.212744 42.501222 
62 : 13.529447 17.388918 
63 : 37.119349 11.923050 
64 : 35.936988 2.546890 
65 : 34.028258 6.747925 
66 : 10.271677 28.906669 
67 : 11.419820 45.218472 
68 : 31.197876 38.558319 
69 : 28.055809 35.207156 
70 : 19.700471 21.120553 
71 : 38.706710 47.892828 
72 : 19.046460 37.779462 
73 : 39.796221 18.300174 
74 : 19.623145 27.530707 
75 : 20.138136 11.071472 
76 : 30.750915 12.797240 
77 : 15.523379 36.762672 
78 : 18.130370 15.777261 
79 : 5.314159 21.120265 
80 : 30.340253 37.422099 
81 : 22.609477 17.654452 
82 : 25.945464 22.322926 
83 : 31.922323 1.696754 
84 : 8.817930 36.400723 
85 : 34.315631 31.068793 
86 : 36.189157 6.289735 
87 : 11.680795 10.772796 
