Number of nodes 10000 
0 : 261.410931 249.734796 
1 : 266.280531 192.841612 
2 : 201.373767 151.080545 
3 : 12.572688 388.798143 
4 : 305.338125 62.330624 
5 : 314.736469 269.323500 
6 : 329.571036 425.886982 
7 : 153.138426 185.322634 
8 : 141.442848 176.187592 
9 : 132.207305 482.591523 
10 : 280.980069 155.281784 
11 : 153.557779 111.989114 
12 : 12.454153 469.497940 
13 : 182.656884 331.191322 
14 : 111.766087 202.920707 
15 : 134.511468 202.407666 
16 : 20.873587 244.786930 
17 : 215.994223 166.016878 
18 : 152.374652 480.272845 
19 : 399.375873 438.457785 
20 : 211.847921 252.085265 
21 : 354.575740 53.601902 
22 : 326.229227 284.183215 
23 : 129.876020 190.560161 
24 : 106.465245 300.147351 
25 : 111.124713 25.708785 
26 : 301.776888 348.818184 
27 : 391.570066 387.606555 
28 : 256.984025 408.879976 
29 : 340.896870 444.010830 
30 : 342.095783 340.523946 
31 : 223.543333 450.945939 
32 : 101.235797 431.818658 
33 : 150.652401 324.612330 
34 : 218.017234 201.206491 
35 : 17.927399 266.947550 
36 : 133.876869 17.653928 
37 : 321.032134 60.838065 
38 : 197.425873 283.586865 
39 : 103.520098 494.918616 
40 : 113.871578 179.405091 
41 : 326.769336 460.304270 
42 : 236.537182 233.403964 
43 : 157.546401 225.800178 
44 : 44.363800 478.923583 
45 : 398.594874 313.748267 
46 : 2.120109 427.407671 
47 : 100.609027 167.188977 
48 : 268.141429 272.986480 
49 : 248.475958 311.949514 
50 : 168.793910 407.951171 
51 : 252.109679 213.455788 
52 : 15.737762 22.767735 
53 : 178.383321 396.469705 
54 : 131.277479 391.898136 
55 : 318.999824 339.569653 
56 : 342.241059 475.330008 
57 : 369.338811 197.085013 
58 : 118.377541 63.773202 
59 : 361.035595 326.527872 
60 : 38.105642 445.598823 
61 : 157.995327 80.556939 
62 : 271.201072 265.922814 
63 : 61.368036 232.294747 
64 : 26.104894 138.743513 
65 : 42.549413 402.235898 
66 : 38.584207 212.001979 
67 : 158.355641 34.846712 
68 : 394.068174 72.822535 
69 : 227.581460 262.044843 
70 : 112.909519 142.958939 
71 : 267.449211 225.128462 
72 : 247.742690 396.307841 
73 : 366.185169 412.780515 
74 : 82.960941 288.648315 
75 : 20.395703 391.022798 
76 : 281.223558 177.801662 
77 : 63.889223 16.369517 
78 : 268.422830 428.367208 
79 : 27.325900 169.828673 
80 : 11.899035 197.876887 
81 : 336.646812 385.868873 
82 : 301.570155 472.397703 
83 : 39.113955 62.883924 
84 : 83.393961 329.955287 
85 : 34.779429 38.160527 
86 : 346.295131 215.443454 
87 : 9.835371 471.174270 
88 : 100.626027 301.784249 
89 : 246.249275 31.168405 
90 : 187.354349 130.369130 
91 : 295.342539 352.459551 
92 : 78.087265 474.489996 
93 : 219.303234 162.658221 
94 : 183.647583 207.111159 
95 : 388.549354 340.168942 
96 : 129.680796 3.637113 
97 : 81.043340 217.192573 
98 : 226.910058 303.119358 
99 : 193.251463 444.525746 
100 : 116.967013 294.434928 
101 : 162.060479 375.440026 
102 : 201.103354 205.965005 
103 : 315.871110 434.377899 
104 : 37.307294 325.453661 
105 : 80.593904 291.277320 
106 : 9.909543 19.690879 
107 : 272.545778 313.552406 
108 : 294.140343 200.092576 
109 : 59.787949 107.096554 
110 : 123.961124 231.597251 
111 : 132.728218 343.259765 
112 : 74.638811 134.945611 
113 : 275.047550 347.277016 
114 : 225.852579 472.751749 
115 : 217.682779 225.517996 
116 : 373.420156 136.063174 
117 : 12.566922 394.502601 
118 : 264.922135 209.753886 
119 : 310.069180 305.576142 
120 : 259.178541 89.991506 
121 : 393.891243 123.427328 
122 : 382.010759 443.641577 
123 : 300.298700 67.818022 
124 : 38.718323 142.250051 
125 : 187.627500 116.971851 
126 : 41.659553 133.102122 
127 : 148.861760 9.184538 
128 : 27.910262 52.838236 
129 : 364.696649 322.201561 
130 : 239.964107 348.259610 
131 : 392.521256 495.854591 
132 : 365.104038 432.830186 
133 : 200.147089 19.185562 
134 : 18.938124 350.288875 
135 : 277.630065 49.948779 
136 : 29.613285 404.432950 
137 : 212.944140 35.221510 
138 : 252.522865 323.221898 
139 : 338.670554 325.544458 
140 : 249.473856 351.581662 
141 : 30.289524 236.830530 
142 : 119.899960 58.754078 
143 : 353.291761 397.402284 
144 : 293.382677 406.400343 
145 : 236.250761 316.778404 
146 : 251.156930 161.494842 
147 : 303.913547 252.013100 
148 : 98.943969 68.937097 
149 : 88.398332 200.866696 
150 : 112.599213 300.780419 
151 : 310.998577 434.801247 
152 : 167.244843 31.527029 
153 : 43.344973 343.750004 
154 : 165.716710 366.300992 
155 : 364.891366 56.292325 
156 : 225.558677 462.814253 
157 : 317.812406 39.653111 
158 : 123.299832 45.558068 
159 : 38.323715 397.989482 
160 : 31.695921 58.059403 
161 : 223.694355 2.543954 
162 : 143.652739 8.481666 
163 : 322.127621 284.560854 
164 : 18.604361 480.064624 
165 : 251.153985 61.867193 
166 : 135.588745 47.115052 
167 : 2.516115 327.085474 
168 : 368.250739 108.480834 
169 : 76.442053 122.531986 
170 : 238.362356 90.540601 
171 : 321.373613 450.569008 
172 : 90.806309 216.911930 
173 : 344.938438 228.279366 
174 : 357.763663 94.385457 
175 : 103.725775 465.259343 
176 : 321.164177 397.532937 
177 : 137.712989 89.782578 
178 : 57.195586 108.034564 
179 : 312.932161 396.265724 
180 : 352.407407 252.193393 
181 : 332.123250 158.493327 
182 : 153.452476 37.050588 
183 : 78.847559 370.309048 
184 : 204.880190 479.792908 
185 : 111.123400 14.354412 
186 : 41.248165 101.220083 
187 : 75.899903 82.246039 
188 : 51.818832 102.665232 
189 : 96.243930 156.519903 
190 : 225.280985 430.061766 
191 : 291.309542 254.423247 
192 : 302.632541 295.117122 
193 : 58.743454 289.057068 
194 : 48.433746 232.734179 
195 : 66.543984 35.013726 
196 : 175.373178 99.249414 
197 : 118.763330 200.067055 
198 : 217.028771 280.348016 
199 : 369.774520 215.432548 
200 : 101.030313 232.607707 
201 : 239.838384 459.566765 
202 : 96.518135 229.990042 
203 : 135.654338 109.167830 
204 : 265.748008 135.190633 
205 : 22.724256 4.714473 
206 : 395.670978 410.687011 
207 : 361.595164 464.974824 
208 : 317.622671 248.572044 
209 : 33.916754 329.135386 
210 : 371.288775 151.102937 
211 : 222.472850 73.499954 
212 : 116.874109 116.622456 
213 : 5.024470 276.973379 
214 : 167.317044 369.010881 
215 : 399.784984 85.356067 
216 : 269.416377 108.663542 
217 : 219.938338 221.013697 
218 : 308.781927 314.039290 
219 : 127.876266 116.870651 
220 : 275.720844 42.227842 
221 : 145.935258 176.423421 
222 : 29.304598 66.572332 
223 : 367.154960 231.898707 
224 : 41.103410 47.498677 
225 : 299.378680 357.132210 
226 : 313.716786 183.717452 
227 : 141.254719 381.523528 
228 : 8.462852 237.758005 
229 : 6.568928 283.872350 
230 : 135.597240 140.371566 
231 : 288.182642 75.292662 
232 : 360.559273 110.451783 
233 : 189.462253 334.277300 
234 : 22.296707 127.710825 
235 : 163.107243 51.116127 
236 : 134.302334 335.745218 
237 : 121.641244 94.786100 
238 : 118.594001 182.349880 
239 : 388.567253 271.772857 
240 : 230.117277 50.083648 
241 : 94.949854 272.473117 
242 : 364.665800 257.418259 
243 : 15.104571 307.650299 
244 : 222.813692 79.514814 
245 : 269.787264 135.961775 
246 : 373.010295 396.955805 
247 : 395.393104 218.048764 
248 : 68.955255 66.882139 
249 : 1.192276 136.424306 
250 : 49.282717 328.504358 
251 : 65.713839 251.185552 
252 : 228.668554 193.790290 
253 : 226.967239 186.131098 
254 : 303.066354 435.080466 
255 : 44.197172 322.246087 
256 : 294.151645 227.229700 
257 : 213.255333 6.940512 
258 : 185.628329 124.796321 
259 : 237.770547 327.509100 
260 : 393.284936 251.273830 
261 : 146.071140 206.826277 
262 : 110.182511 382.466908 
263 : 131.182284 125.542436 
264 : 355.127116 125.544237 
265 : 310.306795 247.360873 
266 : 92.670106 489.729165 
267 : 260.247178 364.212915 
268 : 12.743980 68.988579 
269 : 390.046017 309.963735 
270 : 45.916927 370.523679 
271 : 56.955572 172.867290 
272 : 287.654968 154.625981 
273 : 131.160556 112.481842 
274 : 271.169803 87.830251 
275 : 40.694097 16.263104 
276 : 223.947472 64.169259 
277 : 49.108583 402.833880 
278 : 100.361802 73.495217 
279 : 228.070080 487.161206 
280 : 3.553231 96.036772 
281 : 187.385380 253.151669 
282 : 117.617700 110.722114 
283 : 103.736205 245.283122 
284 : 207.791526 214.593498 
285 : 200.426320 3.004123 
286 : 25.823018 97.966429 
287 : 193.932320 379.362512 
288 : 327.718838 159.605345 
289 : 263.865834 176.139150 
290 : 77.660613 336.006233 
291 : 383.548070 300.148427 
292 : 381.573671 206.201103 
293 : 362.758326 399.921671 
294 : 152.427749 344.670926 
295 : 256.716215 483.044074 
296 : 328.125966 444.398411 
297 : 166.784550 305.933837 
298 : 287.127966 482.457059 
299 : 332.921007 234.236310 
300 : 267.758599 296.155000 
301 : 222.798948 191.062691 
302 : 383.926168 401.126914 
303 : 357.879147 206.629885 
304 : 50.370875 134.174886 
305 : 181.286152 129.143674 
306 : 121.346851 387.416416 
307 : 50.784425 353.557740 
308 : 128.172939 216.245873 
309 : 147.759087 182.596167 
310 : 342.819642 435.453700 
311 : 72.373774 373.449397 
312 : 39.716239 146.782638 
313 : 7.053574 133.715477 
314 : 319.143817 237.331485 
315 : 102.614084 93.792474 
316 : 143.932214 232.233482 
317 : 323.411849 466.044768 
318 : 226.498924 261.398253 
319 : 312.830451 294.777901 
320 : 195.122135 434.740531 
321 : 176.626336 219.076307 
322 : 135.178481 161.484541 
323 : 21.912733 377.590373 
324 : 276.937003 419.849602 
325 : 7.088657 289.049763 
326 : 168.567375 333.278726 
327 : 352.550333 227.734039 
328 : 0.592193 60.612234 
329 : 200.281111 239.990897 
330 : 301.918825 275.523941 
331 : 270.202958 259.885065 
332 : 72.440719 276.440246 
333 : 398.409162 150.308519 
334 : 356.584509 191.011044 
335 : 278.395289 193.288027 
336 : 40.802837 146.518100 
337 : 348.670704 4.247267 
338 : 363.341799 115.799552 
339 : 362.432637 92.342147 
340 : 226.854875 378.647655 
341 : 163.295288 397.382318 
342 : 40.255199 155.732179 
343 : 217.550905 194.366383 
344 : 176.074315 116.948294 
345 : 252.218099 227.628569 
346 : 85.797540 469.513790 
347 : 255.923835 409.228641 
348 : 387.368179 204.356801 
349 : 278.885283 358.043396 
350 : 353.665992 15.844801 
351 : 370.734320 416.919893 
352 : 378.103865 464.417820 
353 : 207.152938 18.931164 
354 : 71.271218 222.323120 
355 : 328.789535 405.124017 
356 : 19.563620 36.250106 
357 : 51.662639 167.236672 
358 : 372.769994 103.841213 
359 : 112.362836 441.288040 
360 : 377.638317 378.998205 
361 : 273.735183 141.612952 
362 : 269.658924 239.668922 
363 : 150.679640 374.081916 
364 : 347.240043 163.503201 
365 : 223.416273 148.303924 
366 : 121.349353 425.922216 
367 : 339.695685 281.593932 
368 : 313.822826 188.285295 
369 : 388.251173 46.280844 
370 : 391.299415 236.561534 
371 : 241.307072 336.060363 
372 : 5.971041 202.799973 
373 : 102.773276 324.913671 
374 : 124.020207 484.287335 
375 : 90.915538 85.325248 
376 : 289.025899 63.223156 
377 : 259.655312 457.526413 
378 : 371.833640 361.512076 
379 : 217.598371 332.464403 
380 : 176.738892 415.495663 
381 : 256.091885 305.892090 
382 : 88.071510 142.912484 
383 : 19.800975 24.517462 
384 : 84.181766 431.516824 
385 : 345.675992 30.471532 
386 : 44.336825 243.737636 
387 : 385.988792 316.985495 
388 : 161.465074 359.178790 
389 : 72.947679 176.105874 
390 : 225.135126 356.618185 
391 : 164.945366 265.171285 
392 : 315.363269 94.334969 
393 : 30.813299 60.092758 
394 : 10.896417 322.517544 
395 : 336.740775 66.753209 
396 : 48.271788 391.234620 
397 : 381.059213 93.745736 
398 : 244.868072 275.258534 
399 : 105.405450 312.070964 
400 : 278.592126 347.710867 
401 : 210.567624 430.767280 
402 : 251.591663 275.342606 
403 : 248.257787 460.555933 
404 : 288.046491 33.321430 
405 : 18.072657 481.646213 
406 : 322.333461 432.429054 
407 : 157.778773 24.181982 
408 : 66.005410 329.662696 
409 : 358.916949 451.704484 
410 : 356.936082 101.240405 
411 : 338.027825 64.508255 
412 : 238.805368 311.979025 
413 : 167.096811 12.041623 
414 : 222.815483 167.822273 
415 : 217.555869 456.530411 
416 : 287.392453 43.589231 
417 : 149.116198 276.241333 
418 : 96.076735 429.479944 
419 : 267.522285 205.831149 
420 : 14.671615 205.029176 
421 : 154.233789 329.111076 
422 : 313.224046 162.256410 
423 : 137.392174 75.635572 
424 : 226.407158 221.550034 
425 : 127.304661 488.231445 
426 : 397.232708 419.506077 
427 : 10.929526 134.737946 
428 : 109.015460 135.597642 
429 : 200.934857 265.487150 
430 : 147.869367 346.627501 
431 : 88.775156 209.974305 
432 : 154.553073 302.365519 
433 : 321.706521 300.997012 
434 : 313.850442 423.399508 
435 : 262.165379 135.747950 
436 : 142.970259 191.307956 
437 : 135.606516 428.939003 
438 : 21.079927 103.664741 
439 : 345.144728 68.747662 
440 : 29.540275 433.309116 
441 : 273.841992 387.476921 
442 : 229.434715 381.662142 
443 : 172.380949 297.383906 
444 : 194.476488 158.154851 
445 : 271.410761 317.521037 
446 : 81.284664 374.306198 
447 : 147.311066 440.065316 
448 : 303.957330 191.717362 
449 : 42.000547 49.923294 
450 : 255.652821 371.704528 
451 : 302.223527 85.403756 
452 : 258.481742 383.169260 
453 : 267.366838 340.075763 
454 : 236.914631 109.282614 
455 : 296.127122 267.510143 
456 : 185.632175 306.498819 
457 : 57.431616 431.196559 
458 : 127.486781 13.898298 
459 : 339.139511 282.886502 
460 : 263.127135 45.914814 
461 : 155.583155 172.155177 
462 : 366.805236 383.206073 
463 : 211.041128 278.466924 
464 : 63.562059 73.430943 
465 : 277.205790 441.781615 
466 : 313.362425 34.099085 
467 : 338.580033 165.669791 
468 : 182.916985 13.302073 
469 : 35.583959 140.317575 
470 : 54.249655 103.312152 
471 : 228.527155 385.547736 
472 : 249.415198 46.791715 
473 : 278.861674 107.823521 
474 : 166.292455 43.771844 
475 : 55.493575 392.355808 
476 : 124.038292 295.526630 
477 : 284.942192 160.368532 
478 : 84.980449 313.456920 
479 : 293.521912 451.675219 
480 : 155.736828 129.447215 
481 : 8.441058 196.138079 
482 : 260.332025 98.349339 
483 : 253.743210 409.800070 
484 : 287.371566 28.410592 
485 : 320.646852 226.933135 
486 : 272.346917 123.803417 
487 : 110.794884 185.789017 
488 : 261.783347 79.039912 
489 : 305.912132 294.457537 
490 : 116.790068 277.971567 
491 : 327.396415 71.929440 
492 : 31.088960 489.721642 
493 : 363.552116 368.554864 
494 : 399.069642 53.486178 
495 : 167.519423 45.886706 
496 : 106.364101 263.678654 
497 : 103.985978 161.520722 
498 : 136.045761 239.904459 
499 : 315.432248 52.608987 
500 : 254.606307 488.056728 
501 : 298.893742 383.832079 
502 : 361.275243 443.637153 
503 : 399.988300 335.998040 
504 : 390.884171 410.915114 
505 : 190.393112 109.510668 
506 : 191.093903 404.480972 
507 : 27.443645 128.983281 
508 : 121.893041 374.091089 
509 : 369.238380 197.176533 
510 : 274.469005 5.580808 
511 : 114.552847 81.475938 
512 : 173.562000 85.517464 
513 : 146.963332 232.925956 
514 : 200.104453 189.527061 
515 : 63.044626 104.438352 
516 : 179.030296 68.716855 
517 : 365.896792 344.430167 
518 : 35.508120 331.507072 
519 : 148.849176 113.085699 
520 : 21.003108 174.385703 
521 : 328.945861 370.756985 
522 : 322.020354 50.882188 
523 : 337.219824 407.663690 
524 : 264.812509 194.564830 
525 : 384.415407 151.837038 
526 : 239.135674 426.615234 
527 : 351.355036 285.416441 
528 : 20.972952 175.279418 
529 : 9.276300 260.288384 
530 : 82.090015 157.973455 
531 : 231.090948 245.831269 
532 : 308.503806 222.048861 
533 : 348.836472 395.703839 
534 : 32.343396 273.424565 
535 : 340.016531 207.282437 
536 : 372.170358 114.919383 
537 : 215.049955 106.903812 
538 : 21.061908 403.020016 
539 : 354.720616 471.070422 
540 : 63.939543 125.018462 
541 : 318.300733 420.497420 
542 : 122.918886 7.884493 
543 : 260.993537 68.973902 
544 : 349.715340 423.231785 
545 : 58.152959 156.844540 
546 : 347.740702 275.324827 
547 : 344.913622 402.122368 
548 : 299.009956 9.310813 
549 : 267.002260 157.559275 
550 : 372.675539 219.169974 
551 : 157.214366 2.680999 
552 : 177.628543 225.466483 
553 : 86.956099 278.452119 
554 : 318.754669 122.116102 
555 : 348.013184 290.909570 
556 : 290.492403 312.713445 
557 : 51.623946 185.208385 
558 : 37.829733 47.360830 
559 : 37.467409 371.121502 
560 : 78.060639 350.857571 
561 : 176.987731 180.448252 
562 : 127.414975 381.484316 
563 : 257.688248 355.390312 
564 : 296.511202 299.474564 
565 : 133.118665 159.571966 
566 : 326.865602 280.800030 
567 : 101.182288 107.935787 
568 : 245.470531 78.772771 
569 : 342.617648 263.767371 
570 : 71.625557 154.636595 
571 : 201.811359 303.751043 
572 : 284.605567 240.635685 
573 : 92.328003 282.919985 
574 : 323.154428 70.630008 
575 : 231.559192 234.750217 
576 : 391.384029 203.551256 
577 : 355.331836 223.265971 
578 : 305.539258 346.969569 
579 : 353.304373 122.923767 
580 : 130.468828 116.446467 
581 : 289.251223 63.311137 
582 : 185.276147 275.528880 
583 : 295.986621 273.887916 
584 : 224.499814 48.668184 
585 : 164.629988 160.312759 
586 : 24.170125 85.339035 
587 : 200.153283 426.749216 
588 : 206.270796 177.236126 
589 : 207.021491 265.328613 
590 : 202.514368 170.171240 
591 : 168.931444 446.669400 
592 : 261.989882 58.057367 
593 : 288.351549 419.182469 
594 : 266.410193 138.011988 
595 : 197.451593 121.481683 
596 : 38.447696 174.102210 
597 : 323.999160 81.155158 
598 : 158.174697 405.576485 
599 : 148.840742 34.292078 
600 : 125.933521 367.616823 
601 : 163.961348 379.694180 
602 : 206.149604 31.418367 
603 : 113.095281 398.471027 
604 : 189.952092 47.504744 
605 : 11.441029 14.987503 
606 : 55.512968 450.806606 
607 : 47.537036 369.336557 
608 : 204.401799 48.109921 
609 : 375.564566 293.140857 
610 : 142.671149 187.559653 
611 : 376.881153 387.609493 
612 : 121.849798 414.669539 
613 : 89.964618 426.552013 
614 : 43.524958 232.697494 
615 : 241.736743 218.110517 
616 : 222.212844 312.245498 
617 : 241.895446 455.726885 
618 : 317.070477 385.488504 
619 : 8.369792 435.851750 
620 : 395.492260 82.019955 
621 : 34.750660 445.219079 
622 : 360.190009 205.185943 
623 : 95.238915 320.615232 
624 : 323.705589 58.879784 
625 : 246.037126 423.670988 
626 : 111.684207 455.827330 
627 : 260.363194 78.274911 
628 : 354.753111 77.099643 
629 : 152.346820 363.700930 
630 : 347.433961 271.049840 
631 : 365.160795 64.073654 
632 : 364.442996 416.996161 
633 : 352.197047 265.308413 
634 : 86.386828 401.024271 
635 : 5.682645 41.370034 
636 : 36.805146 112.320812 
637 : 287.745866 426.200025 
638 : 123.352607 312.627600 
639 : 85.229506 354.401368 
640 : 46.856536 57.279964 
641 : 145.321444 461.964647 
642 : 133.125396 394.069297 
643 : 243.514407 331.317741 
644 : 4.364682 43.444528 
645 : 35.413510 409.809405 
646 : 221.990828 497.749982 
647 : 387.258347 81.444754 
648 : 305.777797 456.648319 
649 : 139.421729 303.653566 
