Number of nodes 100000 
0 : 165.499852 2937.750629 
1 : 187.510098 4314.960084 
2 : 239.169515 2322.791735 
3 : 135.308827 1273.633723 
4 : 293.277408 3399.214143 
5 : 221.408380 3661.471873 
6 : 211.342065 496.189737 
7 : 112.070305 2275.014814 
8 : 283.413554 2754.717825 
9 : 208.648303 249.522004 
10 : 106.225491 3301.893504 
11 : 285.893253 1862.087011 
12 : 20.948013 43.044130 
13 : 340.836008 2753.714751 
14 : 338.339289 2565.188743 
15 : 245.770556 2383.985150 
16 : 373.471791 1973.799370 
17 : 350.825248 2332.501190 
18 : 156.080863 2854.559667 
19 : 172.880991 4319.883916 
20 : 372.033060 824.169682 
21 : 43.562161 3762.205683 
22 : 214.221187 3546.423003 
23 : 172.646131 4266.375544 
24 : 205.065562 1957.885076 
25 : 117.759069 1161.311719 
26 : 117.232681 504.002436 
27 : 82.529151 1302.952714 
28 : 276.638649 2322.280273 
29 : 331.723731 3531.714795 
30 : 61.994393 881.983616 
31 : 343.173681 4367.285508 
32 : 80.119691 3579.564499 
33 : 250.525198 2506.150096 
34 : 131.252564 2399.751558 
35 : 227.553422 3657.833417 
36 : 368.255762 557.415038 
37 : 377.752405 3227.898619 
38 : 192.785899 377.560212 
39 : 104.334696 4885.123952 
40 : 225.169008 1335.610265 
41 : 332.939621 497.213992 
42 : 240.683192 2423.991269 
43 : 399.868212 139.739340 
44 : 18.138700 2123.668907 
45 : 139.003692 329.327367 
46 : 77.216568 1883.728129 
47 : 344.273158 1029.808695 
48 : 336.691300 4590.693047 
49 : 311.454007 4209.734227 
50 : 320.733407 1473.959012 
51 : 72.716074 4404.350348 
52 : 94.046082 1669.650365 
53 : 223.917298 361.144888 
54 : 119.399761 3638.875303 
55 : 382.654729 4644.035062 
56 : 49.324583 3970.696275 
57 : 268.044172 2290.279935 
58 : 209.289353 3295.360982 
59 : 21.963929 2844.507137 
60 : 315.156177 2750.838949 
61 : 98.001891 728.022455 
62 : 88.482521 4625.336720 
63 : 119.185550 1960.469188 
64 : 296.149337 1117.542368 
65 : 211.867072 1243.124761 
66 : 96.096984 135.521288 
67 : 301.011943 4337.745104 
68 : 199.632240 4869.614837 
69 : 55.837855 3256.813207 
70 : 340.217891 1405.980004 
71 : 100.551873 1054.979431 
72 : 275.073383 3746.518666 
73 : 54.357259 3703.221806 
74 : 22.314501 1642.558858 
75 : 224.407460 947.019686 
76 : 12.920627 4985.420498 
77 : 194.968066 3076.130900 
78 : 9.949518 371.789036 
79 : 48.361772 309.559040 
80 : 163.188909 4377.296536 
81 : 369.919041 501.640463 
82 : 222.177993 2734.035277 
83 : 176.086904 2739.333658 
84 : 323.236536 4188.265610 
85 : 375.443255 413.053915 
86 : 264.722871 1535.893856 
87 : 254.872095 3351.415621 
88 : 323.741026 1718.000739 
89 : 362.187925 264.228985 
90 : 246.481742 4329.727386 
91 : 366.005798 3067.089295 
92 : 318.618254 4734.525530 
93 : 68.556819 2300.449524 
94 : 205.489445 3645.327289 
95 : 87.660172 2714.701603 
96 : 62.027676 1945.378832 
97 : 149.277441 4233.751160 
98 : 226.012409 1306.636454 
99 : 228.207466 1790.927003 
100 : 219.896740 4207.466892 
101 : 318.090614 4348.349454 
102 : 197.342082 2204.830302 
103 : 156.662107 1920.268738 
104 : 221.095684 1616.348291 
105 : 359.334876 4679.288872 
106 : 83.756796 1388.613917 
107 : 117.740614 1690.645245 
108 : 182.628272 4290.347572 
109 : 11.595232 24.920093 
110 : 221.687532 2024.076169 
111 : 19.584656 2893.527030 
112 : 147.619561 2777.295487 
113 : 76.919685 2829.196195 
114 : 91.005992 965.843927 
115 : 182.655706 2095.657315 
116 : 39.190929 3569.393877 
117 : 308.756626 2176.493958 
118 : 211.424917 4191.569324 
119 : 74.590763 4838.742320 
120 : 214.540963 1079.034654 
121 : 373.303512 4002.993987 
122 : 207.995815 893.292028 
123 : 11.272484 4375.208234 
124 : 293.608016 3334.316349 
125 : 342.472672 752.382444 
126 : 87.040975 3299.454235 
127 : 92.085155 2991.879380 
128 : 11.197905 4935.623829 
129 : 153.565123 1894.616155 
130 : 168.768302 4331.717345 
131 : 154.744538 4612.576065 
132 : 291.754226 54.921935 
133 : 280.585091 3698.035369 
134 : 173.280546 4680.969231 
135 : 260.989842 239.094291 
136 : 86.269660 2241.528496 
137 : 163.290415 755.127445 
138 : 142.523819 448.465094 
139 : 249.743769 1666.780492 
140 : 322.676228 3432.438546 
141 : 90.432118 1887.112851 
142 : 288.862151 3640.979880 
143 : 320.885887 3896.379416 
144 : 51.213214 4929.590460 
145 : 154.382274 3642.681199 
146 : 4.428433 1503.561915 
147 : 322.943303 3089.977631 
148 : 394.183321 3162.818133 
149 : 19.466607 3383.266447 
150 : 179.602182 4532.497375 
151 : 304.197195 4085.350075 
152 : 364.184279 4412.655878 
153 : 106.054860 3771.936069 
154 : 133.347197 1520.836382 
155 : 311.683650 3010.500408 
156 : 158.788413 3631.582834 
157 : 96.313136 4610.451816 
158 : 227.199494 4906.892999 
159 : 369.505297 1542.005191 
160 : 20.411393 4732.172936 
161 : 375.988478 2933.517616 
162 : 138.623364 2349.958481 
163 : 194.982780 3852.088972 
164 : 345.184030 1308.929419 
165 : 214.048298 1013.996555 
166 : 223.036587 3371.115822 
167 : 116.627794 1976.884806 
168 : 364.617946 4649.729062 
169 : 15.982241 2727.415886 
170 : 217.147820 3202.793310 
171 : 314.042423 1978.029915 
172 : 209.260816 2550.747276 
173 : 344.870795 4312.095679 
174 : 127.275982 4190.364206 
175 : 255.356554 163.910587 
176 : 103.508899 404.826615 
177 : 335.778619 543.224776 
178 : 36.775265 3771.037803 
179 : 29.674892 4619.822710 
180 : 169.947509 1956.147451 
181 : 17.366090 2219.400606 
182 : 222.591919 756.320825 
183 : 279.187609 2843.586670 
184 : 331.870863 2717.584283 
185 : 112.451774 3645.212988 
186 : 280.849918 3901.295992 
187 : 113.646554 1519.760124 
188 : 347.607551 247.150208 
189 : 285.046135 3973.715908 
190 : 287.987651 4190.011128 
191 : 164.696295 3935.125592 
192 : 339.761454 4669.410567 
193 : 36.852620 508.665222 
194 : 386.525135 3201.658088 
195 : 120.326662 444.127793 
196 : 181.496653 807.365474 
197 : 171.350011 2685.046167 
198 : 199.151774 248.946661 
199 : 361.736403 750.384661 
200 : 281.166794 1120.631772 
201 : 16.305704 1627.799622 
202 : 78.470424 2777.347022 
203 : 289.572851 909.253379 
204 : 294.435866 4095.833224 
205 : 278.680145 355.546070 
206 : 70.500981 3108.484408 
207 : 359.312056 4919.579853 
208 : 63.040875 3109.399484 
209 : 341.587834 1012.069153 
210 : 0.118634 636.610324 
211 : 329.530705 3635.344802 
212 : 356.569787 4709.275028 
213 : 363.401013 4547.879763 
214 : 152.252717 3340.575730 
215 : 89.805025 3500.501080 
216 : 283.851289 4036.289697 
217 : 103.480912 4811.461668 
218 : 196.600223 1093.735455 
219 : 297.328243 4743.843101 
220 : 33.577309 1191.390572 
221 : 57.576147 3573.097472 
222 : 396.329066 2801.608740 
223 : 89.510534 3504.959602 
224 : 282.849856 4413.231358 
225 : 64.718373 4786.032090 
226 : 375.027646 4313.650422 
227 : 271.663566 859.343910 
228 : 377.104942 1396.862134 
229 : 170.966413 375.171358 
230 : 238.199379 3425.985114 
231 : 167.206843 3500.076753 
232 : 4.995730 3315.189064 
233 : 94.367274 2336.168905 
234 : 158.574227 2167.790470 
235 : 353.710393 217.933191 
236 : 257.969973 2716.001449 
237 : 203.458383 690.318251 
238 : 101.371325 1279.795552 
239 : 62.102514 4875.109817 
240 : 201.308890 4581.274245 
241 : 261.575806 2864.966876 
242 : 39.162941 3887.391864 
243 : 184.261275 3235.424868 
244 : 201.269452 9.823072 
245 : 48.180649 315.796292 
246 : 100.614472 1851.040389 
247 : 171.403067 1429.027591 
248 : 381.048801 2015.867362 
249 : 240.717910 4300.214661 
250 : 369.229925 502.867451 
251 : 137.621645 200.873174 
252 : 103.886528 700.051380 
253 : 90.091037 853.600173 
254 : 51.302225 1565.025433 
255 : 302.093773 4563.458742 
256 : 372.319254 173.221976 
257 : 379.086409 3073.398850 
258 : 25.423792 1888.227428 
259 : 263.343702 4560.062752 
260 : 307.412190 4669.559695 
261 : 13.389578 2482.197183 
262 : 90.478238 558.470863 
263 : 305.663416 573.956910 
264 : 254.475208 3988.482529 
265 : 245.218214 1825.459432 
266 : 257.063006 948.724692 
267 : 51.501415 627.211012 
268 : 11.359000 325.881240 
269 : 92.949150 2130.877598 
270 : 372.017902 598.259428 
271 : 350.608990 3684.895135 
272 : 69.000839 4815.053096 
273 : 175.039550 366.873656 
274 : 131.648122 4138.100146 
275 : 263.019409 3914.715288 
276 : 104.780163 4593.669957 
277 : 98.373002 4374.291675 
278 : 216.881149 2862.260188 
279 : 251.672441 4954.152605 
280 : 103.579825 434.300716 
281 : 300.630049 623.644888 
282 : 26.965532 1948.498381 
283 : 336.805599 4640.392997 
284 : 386.806477 3307.514200 
285 : 398.791766 2604.973748 
286 : 379.414878 3285.980842 
287 : 62.147884 2720.637381 
288 : 209.447972 3501.019353 
289 : 25.517512 2806.665470 
290 : 299.298942 813.326531 
291 : 216.627060 3201.870281 
292 : 252.746046 4156.301801 
293 : 245.783917 1245.624323 
294 : 4.604325 3204.895663 
295 : 57.226295 2018.727965 
296 : 75.233809 4312.399984 
297 : 195.265622 2780.198445 
298 : 339.171787 3916.008798 
299 : 28.046749 3385.924831 
300 : 28.745476 2422.648582 
301 : 18.119755 1257.476639 
302 : 334.513926 3497.937533 
303 : 149.878694 3129.772295 
304 : 364.948535 3287.462723 
305 : 12.832354 3852.220299 
306 : 197.995752 1089.689285 
307 : 56.306009 2942.982079 
308 : 3.444312 131.645394 
309 : 257.297393 2221.621577 
310 : 108.234157 119.939536 
311 : 50.039838 4881.901017 
312 : 107.471411 4346.399284 
313 : 19.747789 39.797155 
314 : 97.667187 2186.110145 
315 : 16.547698 2321.704231 
316 : 109.179741 886.846581 
317 : 35.049343 4643.411293 
318 : 0.651465 3766.779565 
319 : 364.963229 3368.539155 
320 : 260.723453 1091.650727 
321 : 16.605429 2863.519665 
322 : 12.702402 513.087749 
323 : 263.528036 3059.087405 
324 : 262.575477 2351.785161 
325 : 52.879816 3970.069465 
326 : 374.424138 2044.396310 
327 : 218.614942 4316.203665 
328 : 214.292348 3571.377683 
329 : 99.955022 4269.423323 
330 : 335.114886 4592.673570 
331 : 312.827546 3475.835385 
332 : 34.344670 2689.386796 
333 : 18.400540 448.277050 
334 : 359.928383 4346.153607 
335 : 110.861637 2274.017930 
336 : 221.796861 3823.785078 
337 : 56.616544 4259.520183 
338 : 211.135129 3409.833647 
339 : 268.526747 844.102783 
340 : 239.837150 413.282499 
341 : 45.389470 2911.569678 
342 : 309.061974 922.368929 
343 : 362.959533 1072.605356 
344 : 199.511089 2389.573414 
345 : 129.460674 3527.169705 
346 : 342.618699 136.924033 
347 : 17.073169 2867.727465 
348 : 234.623374 946.241950 
349 : 236.019783 826.933454 
350 : 112.679687 347.865174 
351 : 226.020845 4547.407231 
352 : 191.467033 3616.054581 
353 : 341.182602 4065.841692 
354 : 182.255026 3530.716169 
355 : 282.126541 2963.433519 
356 : 277.530512 3932.515870 
357 : 273.361258 608.134934 
358 : 178.394384 209.199745 
359 : 163.477756 3178.263277 
360 : 254.732780 1498.069986 
361 : 139.886084 4605.738944 
362 : 84.653748 3057.909532 
363 : 171.218599 2499.026444 
364 : 157.810319 2720.752410 
365 : 193.939262 1537.029828 
366 : 376.572491 690.492383 
367 : 117.118413 3032.832099 
368 : 38.071166 3205.729438 
369 : 356.281300 2504.647108 
370 : 295.704739 4809.680764 
371 : 1.415096 1148.864112 
372 : 314.294390 2001.388229 
373 : 258.100715 1382.051074 
374 : 10.471292 4768.175522 
375 : 52.742581 3945.377101 
376 : 279.586515 4514.157951 
377 : 190.645307 4170.157742 
378 : 40.950658 1537.051561 
379 : 201.869382 4677.626392 
380 : 13.857790 4372.829284 
381 : 11.138117 1906.672074 
382 : 15.843186 2885.345160 
383 : 27.330617 2765.822825 
384 : 100.375414 812.477196 
385 : 180.283938 1181.066792 
386 : 211.810981 4721.654004 
387 : 388.243722 498.786438 
388 : 342.004467 4093.104947 
389 : 368.021636 4695.688378 
390 : 270.248817 300.323202 
391 : 13.119137 2945.794237 
392 : 396.912940 4994.770503 
393 : 389.575841 4054.337184 
394 : 379.670545 2696.865060 
395 : 396.659675 4252.197581 
396 : 217.081294 4909.345600 
397 : 259.617432 1531.114252 
398 : 250.995962 2311.194983 
399 : 46.752072 4062.778731 
400 : 141.455235 3582.823551 
401 : 350.219898 708.400410 
402 : 103.898046 717.580775 
403 : 262.268177 16.363621 
404 : 165.971488 1424.652135 
405 : 302.050221 315.859644 
406 : 103.042444 929.838816 
407 : 326.526782 117.727642 
408 : 291.383238 1001.289874 
409 : 60.047496 3007.197887 
410 : 48.346242 1834.349614 
411 : 368.541242 4473.650390 
412 : 358.211772 1874.882224 
413 : 120.929218 3846.267228 
414 : 132.940817 3323.131941 
415 : 289.471282 1928.993340 
416 : 367.850060 574.001670 
417 : 128.384900 3092.507507 
418 : 83.359966 3152.667933 
419 : 216.656651 3388.430871 
420 : 144.816818 1726.242163 
421 : 69.480974 3130.536442 
422 : 84.794188 2989.200806 
423 : 358.749552 3683.827684 
424 : 69.818476 525.796688 
425 : 205.310469 1693.855759 
426 : 183.959537 3549.753225 
427 : 334.718235 306.699825 
428 : 38.681360 648.238887 
429 : 318.347597 186.219902 
430 : 159.509821 2656.602372 
431 : 187.173548 3863.537710 
432 : 138.809839 4924.830083 
433 : 284.755812 4345.393296 
434 : 73.072083 1922.929782 
435 : 358.551594 2301.698860 
436 : 135.426955 286.519672 
437 : 235.900471 764.037506 
438 : 75.395400 246.452256 
439 : 205.609218 1965.482026 
440 : 18.471714 4056.106051 
441 : 350.380511 1570.195670 
442 : 179.472558 3439.934337 
443 : 147.718468 3453.253064 
444 : 354.764657 1884.569245 
445 : 54.210529 1768.962801 
446 : 121.234471 4824.306702 
447 : 204.843933 1929.129925 
448 : 227.973645 2631.739194 
449 : 361.583476 962.095249 
450 : 283.231523 3533.409982 
451 : 45.688383 1612.844529 
452 : 228.007618 3048.760033 
453 : 285.918785 1647.618538 
454 : 184.603996 3664.181761 
455 : 354.001886 291.879970 
456 : 279.723999 1956.670381 
457 : 147.001206 1717.895311 
458 : 93.155078 4119.115655 
459 : 327.591119 838.400681 
460 : 128.342577 3092.075740 
461 : 18.988455 3614.171965 
462 : 27.947477 2398.905772 
463 : 325.862523 2350.248907 
464 : 148.414073 4226.910158 
465 : 153.499007 1849.223003 
466 : 260.445472 2927.664022 
467 : 101.490886 3396.224785 
468 : 274.054010 3803.854830 
469 : 310.165718 3711.389453 
470 : 289.723144 980.556176 
471 : 19.611944 896.748997 
472 : 281.451482 4579.037440 
473 : 330.162339 2372.930208 
474 : 121.496097 473.433514 
475 : 291.894059 697.155410 
476 : 53.965444 952.133123 
477 : 313.480368 3836.964915 
478 : 186.918416 371.704516 
479 : 197.402903 1715.519560 
480 : 204.197431 2119.802208 
481 : 318.553612 1585.589438 
482 : 104.002745 3756.916438 
483 : 149.577636 4885.558968 
484 : 66.795030 2435.445667 
485 : 175.523614 3957.011012 
486 : 299.529900 4970.297091 
487 : 376.163750 3480.276307 
488 : 77.116346 564.426109 
489 : 130.171707 3452.118135 
490 : 374.528214 487.755425 
491 : 341.978192 3935.675335 
492 : 376.464483 1901.954095 
493 : 342.617712 3716.719197 
494 : 27.281624 1765.324575 
495 : 167.247716 4963.875289 
496 : 374.890248 4981.682555 
497 : 115.170166 4043.065211 
498 : 114.808393 301.153639 
499 : 247.384131 815.381026 
500 : 339.548405 1343.101117 
501 : 159.503163 4594.021212 
502 : 147.085861 3753.218946 
503 : 126.657356 983.348830 
504 : 31.841876 4484.973855 
505 : 335.308368 3300.121335 
506 : 158.012959 2658.679563 
507 : 374.530323 63.349156 
508 : 33.870024 3149.194911 
509 : 203.014719 1506.160253 
510 : 215.766563 2348.518268 
511 : 150.534620 140.765782 
