Number of nodes 36 
0 : 0.000000 0.000000 
1 : 1.000000 0.000000 
2 : 2.000000 0.000000 
3 : 3.000000 0.000000 
4 : 4.000000 0.000000 
5 : 5.000000 0.000000 
6 : 0.000000 1.000000 
7 : 1.000000 1.000000 
8 : 2.000000 1.000000 
9 : 3.000000 1.000000 
10 : 4.000000 1.000000 
11 : 5.000000 1.000000 
12 : 0.000000 2.000000 
13 : 1.000000 2.000000 
14 : 2.000000 2.000000 
15 : 3.000000 2.000000 
16 : 4.000000 2.000000 
17 : 5.000000 2.000000 
18 : 0.000000 3.000000 
19 : 1.000000 3.000000 
20 : 2.000000 3.000000 
21 : 3.000000 3.000000 
22 : 4.000000 3.000000 
23 : 5.000000 3.000000 
24 : 0.000000 4.000000 
25 : 1.000000 4.000000 
26 : 2.000000 4.000000 
27 : 3.000000 4.000000 
28 : 4.000000 4.000000 
29 : 5.000000 4.000000 
30 : 0.000000 5.000000 
31 : 1.000000 5.000000 
32 : 2.000000 5.000000 
33 : 3.000000 5.000000 
34 : 4.000000 5.000000 
35 : 5.000000 5.000000 
