Number of nodes 32 
     0 : -1.0000000e+00 -1.0000000e+00 
     1 :  1.0000000e+00 -1.0000000e+00 
     2 :  1.0000000e+00  1.0000000e+00 
     3 : -1.0000000e+00  1.0000000e+00 
     4 : -6.8392597e-01 -1.0000000e+00 
     5 : -2.6794913e-01 -1.0000000e+00 
     6 :  2.7950709e-01 -1.0000000e+00 
     7 :  1.0000000e+00 -2.0816682e-12 
     8 :  2.7950709e-01  1.0000000e+00 
     9 : -2.6794913e-01  1.0000000e+00 
    10 : -6.8392597e-01  1.0000000e+00 
    11 : -1.0000000e+00  6.6666667e-01 
    12 : -1.0000000e+00  3.3333333e-01 
    13 : -1.0000000e+00  2.0816682e-12 
    14 : -1.0000000e+00 -3.3333333e-01 
    15 : -1.0000000e+00 -6.6666667e-01 
    16 : -1.8368894e-01 -1.5070221e-01 
    17 : -4.8130170e-01  5.2618359e-01 
    18 : -5.0913051e-01 -4.7804451e-01 
    19 :  1.1409957e-01  3.6434252e-01 
    20 : -6.3475896e-01 -1.2891802e-01 
    21 : -2.1576587e-02 -5.9213337e-01 
    22 : -7.0654824e-01  1.9711426e-01 
    23 :  5.4522686e-01 -5.1679371e-01 
    24 :  5.7344009e-01  5.0337541e-01 
    25 : -6.9910699e-01  7.4573281e-01 
    26 : -3.3824163e-01  2.0966015e-01 
    27 : -7.5797548e-01 -7.1475983e-01 
    28 : -1.3410499e-01  6.2840362e-01 
    29 :  3.2788127e-01 -7.3052854e-02 
    30 : -7.6729604e-01  4.5861886e-01 
    31 : -4.5453181e-01 -7.8828171e-01 
